Gambar Produk,Link Produk,Nama Produk,Nama Toko,Harga,Omset Total,Penjualan Total,Omset 30 Hari,Penjualan 30 Hari,Rating
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134201-7rbkc-m6mgjdfr2lwh47_tn.webp,https://shopee.co.id/egrow-lankeleisi-sepeda-listrik-lipat-folding-bike-elite-version-48v-104ah-xt600-i.653744438.29177287841,EGROW Lankeleisi Sepeda Listrik Lipat Folding Bike Elite Version 48V 10.4Ah - XT600,Egrow Tech,Rp 9.702.778,Rp 0,0,Rp 0,0,0.0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7ras9-m2jtwj35rqo317_tn.webp,https://shopee.co.id/sepeda-listrik-e-fat-bike-1000w-26-inch-45kmhr-i.172961384.29717498331,Sepeda Listrik e Fat Bike 1000W 26 Inch 45Km/hr,JKshops111,Rp 11.500.000,Rp 23.000.000,2,Rp 11.500.000,1,5.0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134201-7rbk2-m6mgjls8uvje94_tn.webp,https://shopee.co.id/egrow-lankeleisi-sepeda-listrik-fat-bike-tire-26x4-inch-48v-20ah-rv800-plus-i.653744438.29177287836,EGROW Lankeleisi Sepeda Listrik Fat Bike Tire 26x4 Inch 48V 20Ah - RV800 Plus,Egrow Tech,Rp 22.989.778,Rp 68.969.334,3,Rp 22.989.778,1,5.0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-81zti-me5dybvt57use4_tn.webp,https://shopee.co.id/egrow-lankeleisi-sepeda-listrik-lipat-folding-bike-smart-deluxe-48v-104ah-g650-i.653744438.28727291353,EGROW Lankeleisi Sepeda Listrik Lipat Folding Bike Smart Deluxe 48V 10.4Ah - G650,Egrow Tech,Rp 10.673.608,Rp 74.715.256,7,Rp 10.673.608,1,5.0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224w-mglrf0xrmp7330_tn.webp,https://shopee.co.id/egrow-lankeleisi-kommoda-sepeda-listrik-fat-bike-tire-20x4-inch-48v-14ah-panda-orange-i.653744438.28727291338,EGROW Lankeleisi Kommoda Sepeda Listrik Fat Bike Tire 20x4 Inch 48V 14Ah - PANDA - Orange,Egrow Tech,Rp 17.699.778,Rp 0,0,Rp 0,0,0.0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/sg-11134201-7ra2f-m4u1ipbsfur8c1_tn.webp,https://shopee.co.id/lankeleisi-sepeda-listrik-lipat-folding-bike-luxury-edition-48v-104ah-g660-tinari-i.1425874321.26973175543,Lankeleisi Sepeda Listrik Lipat Folding Bike Luxury Edition 48V 10.4Ah - G660 - Tinari,Tinari Zone,Rp 12.942.900,Rp 0,0,Rp 0,0,0.0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134201-7rbk9-m6mgjqfu1mp605_tn.webp,https://shopee.co.id/egrow-xiaomi-himo-sepeda-listrik-lipat-fat-bike-tire-20x4-inch-48v-10ah-zb20-i.653744438.26827296063,EGROW Xiaomi HIMO Sepeda Listrik Lipat Fat Bike Tire 20x4 Inch 48V 10Ah - ZB20,Egrow Tech,Rp 14.949.778,Rp 44.849.334,3,Rp 14.949.778,1,5.0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224p-mir5ud7mek9307_tn.webp,https://shopee.co.id/4pcs-lankeleisi-sepeda-listrik-lipat-folding-bike-luxury-edition-48v-104ah-g660-i.653744438.26827295954,4pcs Lankeleisi Sepeda Listrik Lipat Folding Bike Luxury Edition 48V 10.4Ah - G660,Egrow Tech,Rp 36.879.778,Rp 0,0,Rp 0,0,0.0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7rbk7-m8nerarjyar1f6_tn.webp,https://shopee.co.id/uwinfly-m100-5000w-electric-motor-lithium-80km-i.955646558.26483688458,Uwinfly M100 5000W Electric Motor Lithium 80Km,GS SEPEDA,Rp 19.540.000,Rp 19.540.000,1,Rp 19.540.000,1,5.0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7ra0p-mbg3y6roxe348b_tn.webp,https://shopee.co.id/e-folding-bike-16-250w-motor-40km-range-i.294212654.25045722539,"E-Folding Bike 16"" 250W Motor 40km Range",Goods_Product,Rp 7.550.000,Rp 7.550.000,1,Rp 7.550.000,1,5.0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r98o-lx96za14g4dq99_tn.webp,https://shopee.co.id/lankeleisi-g660-luxury-edition-sepeda-lipat-sepeda-listrik-bukan-deluxe-lite-edition-smart-elektrik-48v-104-ah-new-i.126227593.19002764716,"Lankeleisi G660 Luxury Edition, Sepeda Lipat, Sepeda Listrik,  Bukan Deluxe Lite Edition Smart Elektrik 48V 10.4 Ah New",djiwatronik,Rp 9.999.000,Rp 0,0,Rp 0,0,0.0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7rask-m0tq1b6l5njyb0_tn.webp,https://shopee.co.id/lankeleisi-xt750-elite-folding-e-bike-48v-30kmh-i.55734964.11929120034,Lankeleisi XT750 Elite Folding E-Bike 48V 30km/h,JLS.Market,Rp 11.295.000,Rp 440.505.000,39,Rp 11.295.000,1,4.9
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/2c8ef55849372f8c8f4ab0bf9c163ca6_tn.webp,https://shopee.co.id/sepeda-listrik-lipat-fiido-d1-14inch-foldable-hybrid-bike-electric-i.316189616.11028860906,Sepeda Listrik Lipat Fiido D1 14Inch Foldable Hybrid Bike Electric,Mobile Gadget Tech,Rp 8.990.000,Rp 0,0,Rp 0,0,0.0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r98w-lzvf8d2pmqdk88_tn.webp,https://shopee.co.id/lankeleisi-g660-sepeda-lipat-hybrid-48v-104ah-i.55734964.10829166386,Lankeleisi G660 Sepeda Lipat Hybrid 48V 10.4Ah,JLS.Market,Rp 10.145.000,Rp 598.555.000,59,Rp 20.290.000,2,4.95
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/b99b5d660986b11720a83453321427d4_tn.webp,https://shopee.co.id/lankeleisi-xt750-plus-fat-bike-48v-10ah-hybrid-i.55734964.10528939159,Lankeleisi XT750 Plus Fat Bike 48V 10Ah Hybrid,JLS.Market,Rp 131.750.000,Rp 1.054.000.000,8,Rp 131.750.000,1,4.83
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/88d3bf8b25735b06f8e55706c5026c95_tn.webp,https://shopee.co.id/lankeleisi-xt600-folding-bike-48v-104ah-hybrid-i.55734964.10429231963,Lankeleisi XT600 Folding Bike 48V 10.4AH Hybrid,JLS.Market,Rp 10.475.000,Rp 146.650.000,14,Rp 0,0,5.0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/sg-11134201-23010-6ia86k9oybmv4a_tn.webp,https://shopee.co.id/sepeda-elektrik-sepeda-listrik-lipat-folding-bike-smart-moped-luxury-edition-48v-10ah-warna-g300-lankeleisi-i.55734964.10229241020,Sepeda Elektrik Sepeda Listrik Lipat Folding Bike Smart Moped Luxury Edition 48V 10Ah Warna G300 Lankeleisi,JLS.Market,Rp 84.950.000,Rp 2.123.750.000,25,Rp 0,0,5.0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7rasm-m0tpcojcnktze3_tn.webp,https://shopee.co.id/lankeleisi-sepeda-listrik-lipat-folding-bike-elite-version-48v-104ah-xt750-i.278093415.9211558037,Lankeleisi Sepeda Listrik Lipat Folding Bike Elite Version 48V 10.4Ah - XT750,Galaxy Starmart,Rp 11.509.100,Rp 80.563.700,7,Rp 11.509.100,1,5.0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/sg-11134201-22100-a851t8vwnjivdc_tn.webp,https://shopee.co.id/lankeleisi-g660-sepeda-lipat-elektrik-48v-35kmh-i.218167107.7245456743,Lankeleisi G660 Sepeda Lipat Elektrik 48V 35km/h,luckyprize,Rp 10.263.000,Rp 369.468.000,36,Rp 10.263.000,1,4.83
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r98o-lq1kcat52c0562_tn.webp,https://shopee.co.id/lankeleisi-sepeda-listrik-lipat-folding-bike-elite-version-48v-104ah-xt750-i.5889637.6819453526,"Lankeleisi Sepeda Listrik Lipat Folding Bike Elite Version 48V 10.4Ah - XT750 
",LiLi Fashion,Rp 11.100.500,Rp 255.311.500,23,Rp 11.100.500,1,4.8
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7rasi-m3hd709b3lst61_tn.webp,https://shopee.co.id/lankeleisi-sepeda-elektrik-lipat-smart-moped-48v-20ah-x3000-max-i.218167107.3456838514,Lankeleisi Sepeda Elektrik Lipat Smart Moped  48V 20Ah - X3000 MAX,luckyprize,Rp 20.624.200,Rp 20.624.200,1,Rp 0,0,0.0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7ras8-m3m3r1ma6sxa84_tn.webp,https://shopee.co.id/ado-ebike-a26-electric-bike-sepeda-listrik-i.867118526.20649648703,Ado Ebike A26+ Electric Bike Sepeda Listrik,ADO EBIKE Official Shop,Rp 8.500.000,Rp 42.500.000,5,Rp 8.500.000,1,500.0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7qul1-ljt97flme3ibf7_tn.webp,https://shopee.co.id/sepeda-lipat-mini-8-inch-i.111326364.20191338203,Sepeda lipat mini 8 inch,Toko Adelino Aisya,Rp 2.250.000,Rp 47.250.000,21,Rp 2.250.000,1,492.0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-82252-mgf617etjtagbb_tn.webp,https://shopee.co.id/sepeda-listrik-konversi-cepat-dengan-smartphone-i.90563257.47050404055,Sepeda Listrik Konversi Cepat Dengan Smartphone,Glodok Shop Elektronik,Rp 4.850.000,Rp 0,0,Rp 0,0,0.0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-81ztq-mel3b07bkwe9ef_tn.webp,https://shopee.co.id/sepeda-listrik-500w-48v-tahan-curam-30-i.797583684.44068799286,Sepeda Listrik 500W 48V Tahan Curam 30°,Ebuy Outdoor Gear,Rp 3.028.410,Rp 590.539.950,195,Rp 130.221.630,43,461.0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224x-mfyykuncjg25f0_tn.webp,https://shopee.co.id/ado-ebike-a26-plus-sepeda-listrik-250w-baterai-36v-125ah-lepas-pasang-shimano-7-speed-rem-cakram-ganda-i.550839933.43624872685,Ado Ebike A26 Plus Sepeda Listrik 250W  Baterai 36V 12.5Ah Lepas Pasang | Shimano 7-Speed & Rem Cakram Ganda,Mibo Official Shop,Rp 8.895.000,Rp 0,0,Rp 0,0,0.0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7rasm-m5uywn67r5dy34_tn.webp,https://shopee.co.id/tahan-air-sepeda-listrik-ofero-uwinfly-yadea-tailg-youjun-eb-power-800watt-i.61934240.28625117829,TAHAN AIR!! Sepeda Listrik Ofero Uwinfly Yadea Tailg Youjun EB - Power 800Watt,EOS E-BIKE,Rp 1.598.000,Rp 3.196.000,2,Rp 1.598.000,1,500.0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-81ztc-mevc2k2omarl68_tn.webp,https://shopee.co.id/sepeda-listrik-tahan-air-850w-45-km-nyra-i.61934240.40215668047,Sepeda Listrik Tahan Air 850W 45+ Km Nyra,EOS E-BIKE,Rp 975.000,Rp 46.800.000,48,Rp 5.850.000,6,483.0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7rasb-m3ub35c7dvxq67_tn.webp,https://shopee.co.id/sepeda-listrik-mewah-baterai-tahan-lama-350w-i.561776503.20120664312,Sepeda Listrik Mewah Baterai Tahan Lama 350W,YEESALL,Rp 3.028.410,Rp 124.164.810,41,Rp 3.028.410,1,479.0
